Subset,Name,Package,Section,Description,Usage,Help
Language and syntax,return(),base R,materials/Practical_6_Programming_and_Further_Statistics/06-01_functions.qmd#sec-writing_functions,Specifies the value returned by a function.,return(value),https://stat.ethz.ch/R-manual/R-devel/library/base/html/function.html
Basic R functions,c(),base R,materials/Practical_1_Introduction_to_R/01-04_complex_variables_plotting.qmd#sec-vectors,Combines values into a vector.,c(...),https://stat.ethz.ch/R-manual/R-devel/library/base/html/c.html
Basic R functions,print(),base R,materials/Practical_1_Introduction_to_R/01-01_using_r_and_rstudio.qmd#sec-coding_in_the_console,Prints an object or value to the console.,print(x),https://stat.ethz.ch/R-manual/R-devel/library/base/html/print.html
Basic R functions,paste(),base R,materials/Practical_1_Introduction_to_R/01-01_using_r_and_rstudio.qmd#sec-coding_in_the_console,"Joins one or more values together into a single piece of text, separating them with spaces by default.",paste(...),https://stat.ethz.ch/R-manual/R-devel/library/base/html/paste.html
Basic R functions,paste0(),base R,materials/Practical_5_Bioinformatics/05-02_sequence_analysis.qmd#sec-orfs,Joins values together as text without inserting spaces or other separators.,paste0(...),https://stat.ethz.ch/R-manual/R-devel/library/base/html/paste.html
Basic R functions,head(),utils,materials/Practical_1_Introduction_to_R/01-04_complex_variables_plotting.qmd#sec-csv,Returns the first few rows of an object.,"head(x, n = 6)",https://stat.ethz.ch/R-manual/R-devel/library/utils/html/head.html
Basic R functions,class(),base R,materials/Practical_1_Introduction_to_R/01-03_simple_variables_functions.qmd#sec-variable_types,Returns the type (class) of an object.,class(x),https://stat.ethz.ch/R-manual/R-devel/library/base/html/class.html
Basic R functions,names(),base R,materials/Practical_5_Bioinformatics/05-02_sequence_analysis.qmd#sec-orfs,Gets or sets the names of the elements in an object.,names(x) <- value,https://stat.ethz.ch/R-manual/R-devel/library/base/html/names.html
Basic R functions,cat(),base R,materials/Practical_3_Probability/03-01_for_loops.qmd#sec-loops,Prints one or more values without automatically starting a new line after each one.,cat(...),https://stat.ethz.ch/R-manual/R-devel/library/base/html/cat.html
Basic R functions,rep(),base R,materials/Practical_1_Introduction_to_R/01-03_simple_variables_functions.qmd#sec-arguments,Repeats a value or vector a specified number of times.,"rep(x, times)",https://stat.ethz.ch/R-manual/R-devel/library/base/html/rep.html
Basic R functions,seq(),base R,materials/Practical_1_Introduction_to_R/01-03_simple_variables_functions.qmd#sec-arguments,"Creates a sequence of values with a specified start, end and increment.","seq(from, to, by)",https://stat.ethz.ch/R-manual/R-devel/library/base/html/seq.html
Basic R functions,seq_len(),base R,materials/Practical_3_Probability/03-01_for_loops.qmd#sec-loops,Creates a sequence of whole numbers from 1 to `n`.,seq_len(n),https://stat.ethz.ch/R-manual/R-devel/library/base/html/seq.html
Basic R functions,as(),methods,materials/Practical_5_Bioinformatics/05-04_align_phylo.html#sec-alignment,Converts an object from one class to another.,"as(object, ""ClassName"")",https://stat.ethz.ch/R-manual/R-devel/library/methods/html/as.html
Mathematical and summary functions,min(),base R,materials/Practical_2_Data_Frames_and_Plots/02-02_manipulating_dataframes2.html#sec-summary_stats,Returns the smallest value in a vector.,"min(x, na.rm = FALSE)",https://stat.ethz.ch/R-manual/R-devel/library/base/html/Extremes.html
Mathematical and summary functions,max(),base R,materials/Practical_2_Data_Frames_and_Plots/02-02_manipulating_dataframes2.html#sec-summary_stats,Returns the largest value in a vector.,"max(x, na.rm = FALSE)",https://stat.ethz.ch/R-manual/R-devel/library/base/html/Extremes.html
Mathematical and summary functions,median(),stats,materials/Practical_2_Data_Frames_and_Plots/02-02_manipulating_dataframes2.html#sec-summary_stats,Calculates the median of a set of values.,"median(x, na.rm = FALSE)",https://stat.ethz.ch/R-manual/R-devel/library/stats/html/median.html
Mathematical and summary functions,mean(),stats,materials/Practical_2_Data_Frames_and_Plots/02-02_manipulating_dataframes2.html#sec-summary_stats,Calculates the mean of a set of values.,"mean(x, na.rm = FALSE)",https://stat.ethz.ch/R-manual/R-devel/library/stats/html/mean.html
Mathematical and summary functions,round(),base R,materials/Practical_1_Introduction_to_R/01-03_simple_variables_functions.html#sec-functions,Rounds a number to a specified number of decimal places.,"round(x, digits = 0)",https://stat.ethz.ch/R-manual/R-devel/library/base/html/Round.html
Mathematical and summary functions,sqrt(),base R,materials/Practical_1_Introduction_to_R/01-03_simple_variables_functions.html#sec-functions,Calculates the square root of a number.,sqrt(x),https://stat.ethz.ch/R-manual/R-devel/library/base/html/MathFun.html
Mathematical and summary functions,sum(),base R,materials/Practical_1_Introduction_to_R/01-01_using_r_and_rstudio.html#sec-rstudio_interface,Calculates the sum of one or more numbers.,sum(...),https://stat.ethz.ch/R-manual/R-devel/library/base/html/sum.html
Import and export,read_csv(),readr,materials/Practical_1_Introduction_to_R/01-04_complex_variables_plotting.qmd#sec-csv,Reads a CSV file into a tibble.,read_csv(file),https://readr.tidyverse.org/reference/read_delim.html
Import and export,read_lines(),readr,materials/Practical_6_Programming_and_Further_Statistics/06-02_loops.qmd#sec-determining_common_genes,"Reads a text file into a character vector, with one element per line.",read_lines(file),https://readr.tidyverse.org/reference/read_lines.html
Import and export,write_csv(),readr,materials/Practical_2_Data_Frames_and_Plots/02-02_manipulating_dataframes2.qmd#sec-divide,Writes a data frame to a CSV file.,"write_csv(data, file)",https://readr.tidyverse.org/reference/write_delim.html
Data manipulation,as_date(),lubridate,materials/Practical_2_Data_Frames_and_Plots/02-04_visualisation_exercise.html#sec-read_data_ve,Converts a date-time value into a date by removing the time component.,as_date(x),https://lubridate.tidyverse.org/reference/as_date.html
Data manipulation,clean_names(),janitor,materials/Practical_2_Data_Frames_and_Plots/02-04_visualisation_exercise.html#sec-read_data_ve,Renames the columns of a data frame into a consistent format by replacing spaces and punctuation with underscores and converting text to lower case.,clean_names(data),https://sfirke.github.io/janitor/reference/clean_names.html
Data manipulation,count(),dplyr,materials/Practical_3_Probability/03-02_intro_to_probability.html#sec-repeating_simulations,Counts the number of rows containing each distinct value or combination of values.,"count(data, columns)",https://dplyr.tidyverse.org/reference/count.html
Data manipulation,desc(),dplyr,materials/Practical_6_Programming_and_Further_Statistics/06-03_simulation.qmd#simulating_data,Sorts values in descending order when used with `arrange()`.,desc(x),https://dplyr.tidyverse.org/reference/desc.html
Data manipulation,distinct(),dplyr,materials/Practical_2_Data_Frames_and_Plots/02-01_manipulating_dataframes1.html#sec-select,Removes duplicate rows from a data frame.,distinct(data),https://dplyr.tidyverse.org/reference/distinct.html
Data manipulation,ends_with(),tidyselect,materials/Practical_2_Data_Frames_and_Plots/02-02_manipulating_dataframes2.html#sec-long_wide,Selects columns whose names end with specified text.,ends_with(text),https://tidyselect.r-lib.org/reference/starts_with.html
Data manipulation,filter(),dplyr,materials/Practical_2_Data_Frames_and_Plots/02-01_manipulating_dataframes1.qmd,Selects rows that satisfy one or more conditions.,"filter(data, condition)",https://dplyr.tidyverse.org/reference/filter.html
Data manipulation,full_join(),dplyr,materials/Practical_2_Data_Frames_and_Plots/02-02_manipulating_dataframes2.html#sec-merge,"Joins two data frames, keeping all rows from both data frames.","full_join(x, y, by = ...)",https://dplyr.tidyverse.org/reference/mutate-joins.html
Data manipulation,glimpse(),dplyr,materials/Practical_2_Data_Frames_and_Plots/02-02_manipulating_dataframes2.html#sec-summary_stats,"Displays the structure of a data frame in a compact, readable format.",glimpse(data),https://dplyr.tidyverse.org/reference/glimpse.html
Data manipulation,group_by(),dplyr,materials/Practical_2_Data_Frames_and_Plots/02-02_manipulating_dataframes2.html#sec-summary_stats,Groups rows of a data frame so that later calculations are carried out separately for each group.,"group_by(data, columns)",https://dplyr.tidyverse.org/reference/group_by.html
Data manipulation,gt(),gt,materials/Practical_1_Introduction_to_R/01-04_complex_variables_plotting.html#sec-data_frames,Displays a data frame as a formatted table.,gt(data),https://gt.rstudio.com/reference/gt.html
Data manipulation,inner_join(),dplyr,materials/Practical_2_Data_Frames_and_Plots/02-02_manipulating_dataframes2.html#sec-merge,"Joins two data frames, keeping only rows present in both.","inner_join(x, y, by = ...)",https://dplyr.tidyverse.org/reference/mutate-joins.html
Data manipulation,left_join(),dplyr,materials/Practical_2_Data_Frames_and_Plots/02-02_manipulating_dataframes2.html#sec-merge,"Joins two data frames, keeping all rows from the first data frame.","left_join(x, y, by = ...)",https://dplyr.tidyverse.org/reference/mutate-joins.html
Data manipulation,mutate(),dplyr,materials/Practical_3_Probability/03-02_intro_to_probability.html#sec-repeating_simulations,Creates new columns or modifies existing columns in a data frame.,"mutate(data, new_column = calculation)",https://dplyr.tidyverse.org/reference/mutate.html
Data manipulation,pivot_longer(),tidyr,materials/Practical_2_Data_Frames_and_Plots/02-02_manipulating_dataframes2.html#sec-long_wide,Converts data from wide format to long format.,"pivot_longer(data, ...)",https://tidyr.tidyverse.org/reference/pivot_longer.html
Data manipulation,pull(),dplyr,materials/Practical_2_Data_Frames_and_Plots/02-03_visualisation.html#sec-axis_limits,Extracts a single column from a data frame as a vector.,"pull(data, column)",https://dplyr.tidyverse.org/reference/pull.html
Data manipulation,rename(),dplyr,materials/Practical_3_Probability/03-02_intro_to_probability.html#sec-repeating_simulations,Changes the names of columns in a data frame.,"rename(data, new_name = old_name)",https://dplyr.tidyverse.org/reference/rename.html
Data manipulation,right_join(),dplyr,materials/Practical_2_Data_Frames_and_Plots/02-02_manipulating_dataframes2.html#sec-merge,"Joins two data frames, keeping all rows from the second data frame.","right_join(x, y, by = ...)",https://dplyr.tidyverse.org/reference/mutate-joins.html
Data manipulation,select(),dplyr,materials/Practical_2_Data_Frames_and_Plots/02-01_manipulating_dataframes1.html#sec-select,Selects one or more columns from a data frame.,"select(data, columns)",https://dplyr.tidyverse.org/reference/select.html
Data manipulation,separate_wider_delim(),tidyr,materials/Practical_5_Bioinformatics/05-03_blast.html#sec-process_blast,Splits a text column into multiple columns using a specified delimiter.,"separate_wider_delim(data, column, delim, names)",https://tidyr.tidyverse.org/reference/separate_wider_delim.html
Data manipulation,slice_max(),dplyr,materials/Practical_5_Bioinformatics/05-03_blast.html#sec-process_blast,Selects the rows with the largest values in a column.,"slice_max(data, order_by, n = 1)",https://dplyr.tidyverse.org/reference/slice.html
Data manipulation,summarize(),dplyr,materials/Practical_2_Data_Frames_and_Plots/02-02_manipulating_dataframes2.html#sec-summary_stats,Calculates one or more summary statistics for each group in a data frame.,"summarize(data, ...)",https://dplyr.tidyverse.org/reference/summarise.html
Data manipulation,tibble(),tibble,materials/Practical_1_Introduction_to_R/01-04_complex_variables_plotting.html#sec-data_frames,"Creates a tibble, a modern type of data frame.","tibble(column = values, ...)",https://tibble.tidyverse.org/reference/tibble.html
Data manipulation,ungroup(),dplyr,materials/Practical_5_Bioinformatics/05-03_blast.html#sec-process_blast,Removes grouping from a grouped data frame.,ungroup(data),https://dplyr.tidyverse.org/reference/group_by.html
Plotting,aes(),ggplot2,materials/Practical_1_Introduction_to_R/01-04_complex_variables_plotting.html#sec-plots,Maps variables in the data frame to visual properties of a plot.,aes(...),https://ggplot2.tidyverse.org/reference/aes.html
Plotting,annotation_borders(),ggplot2,materials/Practical_2_Data_Frames_and_Plots/02-03_visualisation.html#sec-add_points,Adds country or region borders to a map.,annotation_borders(...),https://ggplot2.tidyverse.org/reference/annotation_borders.html
Plotting,coord_cartesian(),ggplot2,materials/Practical_2_Data_Frames_and_Plots/02-03_visualisation.html#sec-axis_limits,Changes the visible limits of a plot without removing observations from the data.,"coord_cartesian(xlim = c(min, max), ylim = c(min, max))",https://ggplot2.tidyverse.org/reference/coord_cartesian.html
Plotting,coord_quickmap(),ggplot2,materials/Practical_2_Data_Frames_and_Plots/02-03_visualisation.html#sec-add_points,Sets a fixed aspect ratio so maps are displayed without distortion.,coord_quickmap(...),https://ggplot2.tidyverse.org/reference/coord_map.html
Plotting,geom_bar(),ggplot2,materials/Practical_3_Probability/03-02_intro_to_probability.html#sec-repeating_simulations,Adds a bar chart in which the bar heights are the number of values per category in a data frame column.,geom_bar(),https://ggplot2.tidyverse.org/reference/geom_bar.html
Plotting,geom_col(),ggplot2,materials/Practical_3_Probability/03-02_intro_to_probability.html#sec-repeating_simulations,Adds a bar chart in which the bar heights are taken from a variable in the data.,geom_col(),https://ggplot2.tidyverse.org/reference/geom_bar.html
Plotting,geom_histogram(),ggplot2,materials/Practical_3_Probability/03-03_distributions.html#simulation,Draws a histogram to show the distribution of a continuous variable.,geom_histogram(...),https://ggplot2.tidyverse.org/reference/geom_histogram.html
Plotting,geom_line(),ggplot2,materials/Practical_1_Introduction_to_R/01-04_complex_variables_plotting.html#sec-plots,Adds a line joining observations in order.,geom_line(),https://ggplot2.tidyverse.org/reference/geom_path.html
Plotting,geom_path(),ggplot2,materials/Practical_2_Data_Frames_and_Plots/02-03_visualisation.html#sec-add_paths,Connects points in the order they appear in the data.,geom_path(...),https://ggplot2.tidyverse.org/reference/geom_path.html
Plotting,geom_point(),ggplot2,materials/Practical_2_Data_Frames_and_Plots/02-03_visualisation.html#sec-add_points,Adds points to a scatter plot.,geom_point(),https://ggplot2.tidyverse.org/reference/geom_point.html
Plotting,geom_tiplab(),ggtree,materials/Practical_5_Bioinformatics/05-04_align_phylo.html#sec-visualise_phylogeny,Adds labels to the tips of a phylogenetic tree.,geom_tiplab(...),https://rdrr.io/bioc/ggtree/man/geom_tiplab.html
Plotting,geom_treescale(),ggtree,materials/Practical_5_Bioinformatics/05-04_align_phylo.html#sec-visualise_phylogeny,Adds a scale bar showing evolutionary distance to a phylogenetic tree.,geom_treescale(...),https://rdrr.io/bioc/ggtree/man/geom_treescale.html
Plotting,geom_vline(),ggplot2,materials/Practical_3_Probability/03-03_distributions.html#simulation,Adds one or more vertical reference lines to a plot.,geom_vline(...),https://ggplot2.tidyverse.org/reference/geom_abline.html
Plotting,ggplot(),ggplot2,materials/Practical_1_Introduction_to_R/01-04_complex_variables_plotting.html#sec-plots,Creates a new ggplot object using a data frame.,ggplot(data),https://ggplot2.tidyverse.org/reference/ggplot.html
Plotting,ggsave(),ggplot2,materials/Practical_5_Bioinformatics/05-04_align_phylo.html#sec-visualise_phylogeny,Saves a ggplot to a file.,"ggsave(filename, plot)",https://ggplot2.tidyverse.org/reference/ggsave.html
Plotting,ggtitle(),ggplot2,materials/Practical_2_Data_Frames_and_Plots/02-03_visualisation.html#sec-add_paths,Adds a title to a ggplot.,"ggtitle(""title"")",https://ggplot2.tidyverse.org/reference/labs.html
Plotting,ggtree(),ggtree,materials/Practical_5_Bioinformatics/05-04_align_phylo.html#sec-visualise_phylogeny,Draws a phylogenetic tree from a tree object.,ggtree(tree),https://rdrr.io/bioc/ggtree/man/ggtree.html
Plotting,scale_color_brewer(),ggplot2,materials/Practical_2_Data_Frames_and_Plots/02-03_visualisation.html#sec-add_paths,Changes the colour palette used for categorical variables.,"scale_color_brewer(palette = ""palette"")",https://ggplot2.tidyverse.org/reference/scale_brewer.html
Plotting,theme_bw(),ggplot2,materials/Practical_2_Data_Frames_and_Plots/02-03_visualisation.html#sec-add_paths,Applies a black-and-white theme to a plot.,theme_bw(),https://ggplot2.tidyverse.org/reference/ggtheme.html
Plotting,xlab(),ggplot2,materials/Practical_1_Introduction_to_R/01-04_complex_variables_plotting.html#sec-plots,Sets the label of the x-axis.,xlab(label),https://ggplot2.tidyverse.org/reference/labs.html
Plotting,ylab(),ggplot2,materials/Practical_1_Introduction_to_R/01-04_complex_variables_plotting.html#sec-plots,Sets the label of the y-axis.,ylab(label),https://ggplot2.tidyverse.org/reference/labs.html
Probability and Simulation,sample(),base R,materials/Practical_3_Probability/03-02_intro_to_probability.qmd#sec-simulation,Randomly selects values from a vector. It can sample with equal or specified probabilities.,"sample(x, size, replace = FALSE, prob = NULL)",https://stat.ethz.ch/R-manual/R-devel/library/base/html/sample.html
Probability and Simulation,dbinom(),stats,materials/Practical_3_Probability/03-02_intro_to_probability.html#sec-binomial,Calculates the probability of obtaining exactly a specified number of successes in a binomial distribution.,"dbinom(x, size, prob)",https://stat.ethz.ch/R-manual/R-devel/library/stats/html/Binomial.html
Probability and Simulation,dpois(),stats,materials/Practical_3_Probability/03-03_distributions.html#sec-other_distributions,Calculates the probability of observing exactly a specified number of events under a Poisson distribution.,"dpois(x, lambda)",https://stat.ethz.ch/R-manual/R-devel/library/stats/html/Poisson.html
Probability and Simulation,pbinom(),stats,materials/Practical_3_Probability/03-02_intro_to_probability.html#sec-inbuilt_functions,Calculates the probability of obtaining no more than a specified number of successes in a binomial distribution.,"pbinom(q, size, prob)",https://stat.ethz.ch/R-manual/R-devel/library/stats/html/Binomial.html
Probability and Simulation,rbinom(),stats,materials/Practical_3_Probability/03-02_intro_to_probability.html#sec-inbuilt_functions,Generates random numbers of successes from a binomial distribution.,"rbinom(n, size, prob)",https://stat.ethz.ch/R-manual/R-devel/library/stats/html/Binomial.html
Probability and Simulation,rpois(),stats,materials/Practical_3_Probability/03-03_distributions.html#sec-other_distributions,Generates random values from a Poisson distribution.,"rpois(n, lambda)",https://stat.ethz.ch/R-manual/R-devel/library/stats/html/Poisson.html
Probability and Simulation,runif(),stats,materials/Practical_3_Probability/03-03_distributions.html#sec-other_distributions,Generates random numbers from a uniform distribution.,runif(n),https://stat.ethz.ch/R-manual/R-devel/library/stats/html/Uniform.html
Bioinformatics,DNAStringSet,Biostrings,materials/Practical_5_Bioinformatics/05-01_bioconductor.html#sec-get_sequence,A Bioconductor object used to store one or more DNA sequences.,DNAStringSet,https://rdrr.io/bioc/Biostrings/man/XStringSet-class.html
Bioinformatics,findORFs(),ORFik,materials/Practical_5_Bioinformatics/05-02_sequence_analysis.qmd#sec-orfs,Identifies open reading frames (ORFs) in a DNA or RNA sequence.,"findORFs(sequence, minimumLength = NULL)",https://rdrr.io/bioc/ORFik/man/findORFs.html
Bioinformatics,IRanges,IRanges,materials/Practical_5_Bioinformatics/05-02_sequence_analysis.qmd#sec-orfs,A Bioconductor object representing one or more ranges of positions within a sequence.,IRanges,https://rdrr.io/bioc/IRanges/man/IRanges-class.html
Bioinformatics,msa(),msa,materials/Practical_5_Bioinformatics/05-04_align_phylo.html#sec-alignment,Performs a multiple sequence alignment of DNA or protein sequences.,"msa(sequences, method = ""..."")",https://rdrr.io/bioc/msa/man/msa.html
Bioinformatics,readAAStringSet(),Biostrings,materials/Practical_5_Bioinformatics/05-04_align_phylo.html#sec-alignment,Reads one or more amino acid sequences from a FASTA file into an `AAStringSet`.,readAAStringSet(file),https://rdrr.io/bioc/Biostrings/man/XStringSet-io.html
Bioinformatics,readDNAStringSet(),Biostrings,materials/Practical_5_Bioinformatics/05-01_bioconductor.html#sec-get_sequence,Reads one or more DNA sequences from a FASTA file into a `DNAStringSet`.,readDNAStringSet(file),https://rdrr.io/bioc/Biostrings/man/XStringSet-io.html
Bioinformatics,translate(),Biostrings,materials/Practical_5_Bioinformatics/05-02_sequence_analysis.html#sec-translate,Translates DNA or RNA sequences into amino acid sequences.,translate(sequence),https://rdrr.io/bioc/Biostrings/man/translate.html
Bioinformatics,width(),Biostrings,materials/Practical_5_Bioinformatics/05-01_bioconductor.html#sec-get_sequence,Returns the length of each DNA sequence in a `DNAStringSet`.,width(x),https://rdrr.io/bioc/Biostrings/man/XStringSet-class.html
Bioinformatics,writeXStringSet(),Biostrings,materials/Practical_5_Bioinformatics/05-02_sequence_analysis.html#sec-save,"Writes DNA, RNA or amino acid sequences to a FASTA or FASTQ file.","writeXStringSet(x, filepath)",https://rdrr.io/bioc/Biostrings/man/XStringSet-io.html
Miscellaneous,fortune(),fortunes,materials/Practical_1_Introduction_to_R/01-04_complex_variables_plotting.qmd#sec-packages,Displays a random quotation about R.,fortune(),https://www.rdocumentation.org/packages/fortunes/topics/fortune
Miscellaneous,say(),cowsay,materials/Practical_3_Probability/03-01_for_loops.html#sec-loops,,say(by=animal_name),https://cran.r-project.org/web/packages/cowsay/refman/cowsay.html#say
